idx,image_id,captured_at,year,lat,lon,compass_angle,is_pano,width,height,creator_username,sequence,source_url,license,path
63,1020080858398129,2017-11-21T16:08:54.159000+00:00,2017,34.045987296881,-118.44635051686,140.26824951172,False,4032,3024,astheduke,HushAbz-QUQrWQRdhdObZg,https://www.mapillary.com/app/?pKey=1020080858398129,CC BY-SA 4.0,images/1020080858398129.jpg
64,1382287353650403,2026-02-24T12:11:29.596000+00:00,2026,34.04504721,-118.44516115333,140.41253101529,False,3840,2160,aHS,Cjc4wgNmHfeJAytI1doG9u,https://www.mapillary.com/app/?pKey=1382287353650403,CC BY-SA 4.0,images/1382287353650403.jpg
65,2635159393312874,2024-07-30T20:07:04.152000+00:00,2024,34.05753389665,-118.45347184909,326.54750889428,False,4032,3024,KingKratos,XaOqfvt4r8u6CsDALWwTMn,https://www.mapillary.com/app/?pKey=2635159393312874,CC BY-SA 4.0,images/2635159393312874.jpg
66,1145371429207291,2018-02-26T19:03:09.267000+00:00,2018,34.0624948,-118.44697014541,90.0,False,5312,2988,whereismystreet,HgV2K89RDKSDh2DKSPi38w,https://www.mapillary.com/app/?pKey=1145371429207291,CC BY-SA 4.0,images/1145371429207291.jpg
67,146525004123647,2019-01-01T00:30:54.787000+00:00,2019,34.045832031861,-118.4455687223,323.54174804688,False,1920,1080,lvl5,0e60b7cw2kx125ejqfwp0w,https://www.mapillary.com/app/?pKey=146525004123647,CC BY-SA 4.0,images/146525004123647.jpg
68,2918890881568980,2018-11-30T16:53:09.750000+00:00,2018,34.049465668827,-118.43745279751,67.5,False,1920,1080,lvl5,d4imcmbg2m6cf7pxbtxdvb,https://www.mapillary.com/app/?pKey=2918890881568980,CC BY-SA 4.0,images/2918890881568980.jpg
69,514864570924708,2024-07-30T20:07:10.048000+00:00,2024,34.058770129964,-118.4544324426,326.89278363755,False,4032,3024,KingKratos,XaOqfvt4r8u6CsDALWwTMn,https://www.mapillary.com/app/?pKey=514864570924708,CC BY-SA 4.0,images/514864570924708.jpg
70,201012901660553,2016-11-04T22:15:33.872000+00:00,2016,34.0519331,-118.44428294,245.51997069154,False,1280,720,voschix,a5857t7hcyz5zoozcjx96u,https://www.mapillary.com/app/?pKey=201012901660553,CC BY-SA 4.0,images/201012901660553.jpg
71,537404530616726,2018-11-30T16:45:01.139000+00:00,2018,34.045260346579,-118.45262364111,63.923595428467,False,1920,1080,lvl5,onfg3cwi6tv1ys73ozvnuf,https://www.mapillary.com/app/?pKey=537404530616726,CC BY-SA 4.0,images/537404530616726.jpg
72,1423650324635663,2016-08-30T21:27:39.873000+00:00,2016,34.054976,-118.454556,77.3306,False,4032,3024,cscrivens,z4AzlIuZaEjdtSqEymeO5Q,https://www.mapillary.com/app/?pKey=1423650324635663,CC BY-SA 4.0,images/1423650324635663.jpg
